task,userId,serviceProviderId,groupId,index
user.delete,3098@domain.ev.com,ServiceP,MARSHA,1
user.delete,3010@domain.ev.com,ServiceP,MARSHA,2
user.delete,2046@domain.ev.com,ServiceP,MARSHA,3
user.delete,2024@domain.ev.com,ServiceP,MARSHA,4
user.delete,3063@domain.ev.com,ServiceP,MARSHA,5
user.delete,3087@domain.ev.com,ServiceP,MARSHA,6
user.delete,3038@domain.ev.com,ServiceP,MARSHA,7
user.delete,2009@domain.ev.com,ServiceP,MARSHA,8
user.delete,2003@domain.ev.com,ServiceP,MARSHA,9
user.delete,2246@domain.ev.com,ServiceP,MARSHA,10
user.delete,3091@domain.ev.com,ServiceP,MARSHA,11
user.delete,2007@domain.ev.com,ServiceP,MARSHA,12
user.delete,2027@domain.ev.com,ServiceP,MARSHA,13
user.delete,3000@domain.ev.com,ServiceP,MARSHA,14
user.delete,3069@domain.ev.com,ServiceP,MARSHA,15
user.delete,2037@domain.ev.com,ServiceP,MARSHA,16
user.delete,2066@domain.ev.com,ServiceP,MARSHA,17
user.delete,2081@domain.ev.com,ServiceP,MARSHA,18
user.delete,3077@domain.ev.com,ServiceP,MARSHA,19
user.delete,2040@domain.ev.com,ServiceP,MARSHA,20
user.delete,3016@domain.ev.com,ServiceP,MARSHA,21
user.delete,3056@domain.ev.com,ServiceP,MARSHA,22
user.delete,2073@domain.ev.com,ServiceP,MARSHA,23
user.delete,3072@domain.ev.com,ServiceP,MARSHA,24
user.delete,3074@domain.ev.com,ServiceP,MARSHA,25
user.delete,2099@domain.ev.com,ServiceP,MARSHA,26
user.delete,3070@domain.ev.com,ServiceP,MARSHA,27
user.delete,3083@domain.ev.com,ServiceP,MARSHA,28
user.delete,3084@domain.ev.com,ServiceP,MARSHA,29
user.delete,2062@domain.ev.com,ServiceP,MARSHA,30
user.delete,3035@domain.ev.com,ServiceP,MARSHA,31
user.delete,3047@domain.ev.com,ServiceP,MARSHA,32
user.delete,2243@domain.ev.com,ServiceP,MARSHA,33
user.delete,3071@domain.ev.com,ServiceP,MARSHA,34
user.delete,3028@domain.ev.com,ServiceP,MARSHA,35
user.delete,2084@domain.ev.com,ServiceP,MARSHA,36
user.delete,2068@domain.ev.com,ServiceP,MARSHA,37
user.delete,3089@domain.ev.com,ServiceP,MARSHA,38
user.delete,3078@domain.ev.com,ServiceP,MARSHA,39
user.delete,2091@domain.ev.com,ServiceP,MARSHA,40
user.delete,3025@domain.ev.com,ServiceP,MARSHA,41
user.delete,3048@domain.ev.com,ServiceP,MARSHA,42
user.delete,3030@domain.ev.com,ServiceP,MARSHA,43
user.delete,2083@domain.ev.com,ServiceP,MARSHA,44
user.delete,2240@domain.ev.com,ServiceP,MARSHA,45
user.delete,3073@domain.ev.com,ServiceP,MARSHA,46
user.delete,2044@domain.ev.com,ServiceP,MARSHA,47
user.delete,2078@domain.ev.com,ServiceP,MARSHA,48
user.delete,2063@domain.ev.com,ServiceP,MARSHA,49
user.delete,3045@domain.ev.com,ServiceP,MARSHA,50
user.delete,3079@domain.ev.com,ServiceP,MARSHA,51
user.delete,3066@domain.ev.com,ServiceP,MARSHA,52
user.delete,2033@domain.ev.com,ServiceP,MARSHA,53
user.delete,2089@domain.ev.com,ServiceP,MARSHA,54
user.delete,3099@domain.ev.com,ServiceP,MARSHA,55
user.delete,2080@domain.ev.com,ServiceP,MARSHA,56
user.delete,2051@domain.ev.com,ServiceP,MARSHA,57
user.delete,2022@domain.ev.com,ServiceP,MARSHA,58
